tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,latitude,longitude
1.43E+18,04/09/2021 10:06,,en,39,Twitter for iPhone,http://twitter.com/download/iphone,"RT @Isuckatpicking: So the 5% wage rollback for healthcare workers is going to pay $100 to the people who put their lives at risk………… 

#Re…",10/03/2009 19:11,Jessica🇨🇦,3650,Living Organ Donor I try to be kind but sometimes it’s a struggle on here🙄Please don’t retweet my pictures...it’s just creepy,canada,#ResignKenney,15:49.9,Canada,-37.8294,140.7828
1.43E+18,04/09/2021 10:05,,en,87,Twitter for iPhone,http://twitter.com/download/iphone,"RT @terracmurray: COVID did not 'evolve' in July and August. Reopening was foolish, premature and not based on any evidence.  Many critics…",10/03/2009 19:11,Jessica🇨🇦,3650,Living Organ Donor I try to be kind but sometimes it’s a struggle on here🙄Please don’t retweet my pictures...it’s just creepy,canada,#ResignKenney,15:49.9,Canada,-33.715,150.312
1.43E+18,04/09/2021 10:02,"ResignKenney, ResignHinshaw, ResignShandro, ResignUCP",en,112,Twitter for iPhone,http://twitter.com/download/iphone,"RT @EveryAlbertan: Well. After that presser, all I can say is #ResignKenney #ResignHinshaw #ResignShandro #ResignUCP
RT. So loudly the earp…",23/02/2013 01:37,Paul Westenberger,2006,"Husband, father of a great son, loves the mountains and watching football or hockey STAMPS/FLAMES ALL THE WAY. face coverings are cool.",Calgary,#ResignKenney,15:49.9,Canada,-35.0667,138.85
1.43E+18,04/09/2021 10:00,,en,138,Twitter for iPhone,http://twitter.com/download/iphone,RT @cpeck3: $100 to those who haven’t received first or second doses of the COVID vaccine. What a freakin’ insult to everyone in Alberta wh…,02/03/2012 04:13,Hunt Master Rex,90,"Gay Albertan Patriot - I love my province, and I’m willing to defend its people, it’s environment, and it’s place in confederation =^..^=","Wainwright, Alberta",#ResignKenney,15:49.9,Canada,-36.3833,145.35
1.43E+18,04/09/2021 09:59,"ResignKenney, NeverVoteCPC, NeverVoteConservative",en,4,Twitter for iPhone,http://twitter.com/download/iphone,RT @darthclarick: Even better!  #ResignKenney #NeverVoteCPC #NeverVoteConservative https://t.co/rzP5Q87NYe,14/06/2021 21:38,MattBott 5,131,Never trust a harperite #IDU #SEVENMOUNTAINMANDATE #DOMINIONIST,"Kananaskis, Alberta",#ResignKenney,15:49.9,Canada,-42.9769,147.3083
1.43E+18,04/09/2021 09:59,,en,87,Twitter Web App,https://mobile.twitter.com,"RT @terracmurray: COVID did not 'evolve' in July and August. Reopening was foolish, premature and not based on any evidence.  Many critics…",05/01/2021 16:23,Bigfoot (Ape/Chimp) - resistant test subject,521,"#Memetics #Hacker | #EpiYeti 丨 Lead #Vaporware Dev #ABTraceMLA 丨 #BigfootGate 丨 #VariantWave 丨  #ChimeraWave

💉ˣ² + 😷ˣ² + 🙊

Don’t Trust, Verify.
#OpenSource",Alberta,#ResignKenney,15:49.9,Canada,-28.8167,153.3167
1.43E+18,04/09/2021 09:59,,en,56,Twitter for iPhone,http://twitter.com/download/iphone,"RT @TheGentYYC: ""CONSERVATIVE"" LEADERSHIP HAS GIVEN ALBERTA OVER ONE THIRD OF ALL NEW COVID CASES IN CANADA IN SPITE OF HAVING ONLY 10% OF…",14/06/2021 21:38,MattBott 5,131,Never trust a harperite #IDU #SEVENMOUNTAINMANDATE #DOMINIONIST,"Kananaskis, Alberta",#ResignKenney,15:49.9,Canada,-32.715,151.5317
1.43E+18,04/09/2021 09:57,"ResignKenney, ResignHinshaw, ResignShandro, ResignUCP",en,112,Twitter for iPhone,http://twitter.com/download/iphone,"RT @EveryAlbertan: Well. After that presser, all I can say is #ResignKenney #ResignHinshaw #ResignShandro #ResignUCP
RT. So loudly the earp…",14/06/2021 21:38,MattBott 5,131,Never trust a harperite #IDU #SEVENMOUNTAINMANDATE #DOMINIONIST,"Kananaskis, Alberta",#ResignKenney,15:49.9,Canada,-28.1833,153.55
1.43E+18,04/09/2021 09:57,ResignKenney,und,0,Twitter for Android,http://twitter.com/download/android,#ResignKenney,08/10/2020 01:11,W Verhulst,0,,"Alberta, Canada",#ResignKenney,15:49.9,Canada,-38.2333,146.4
1.43E+18,04/09/2021 09:55,,en,1,Twitter Web App,https://mobile.twitter.com,RT @tammym2005: @lesoteric @CountFloyd2020 Yup. All those despicable people protesting outside hospitals yesterday….they get $200. #ResignK…,02/08/2009 18:13,Count Floyd 🇨🇦,2567,"Not the real Count Floyd, but a great big fan!
No DMs.",,#ResignKenney,15:49.9,Canada,-31.4333,152.9
